Product_name,Price,Ratings,Features,pagenum,Original_Price,Discount,Review
Panasonic 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹41,390",4.3,"Annual Power Usage: 759.55 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years.",1,"₹59,300",30% off,"19,993 Ratings & 2,150 Reviews"
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Wi-fi with Energy Manger Plus, Voice Control, Hi...","₹43,990",4.2,Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,1,"₹84,990",48% off,"42,229 Ratings & 4,040 Reviews"
"Samsung 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi Bespoke AI, 5 Step Convertible with Powerf...","₹32,490",4.1,"Annual Power Usage: 852.47 UnitsRoom Size: 111 - 150 sqft5 years comprehensive warranty on product + Additional 5 Months Warranty if purchase between 22nd September 2025 -10th November 2025, 10 years on compressor",1,"₹56,990",42% off,"35,217 Ratings & 3,227 Reviews"
"Godrej 2025 Model 1.5 Ton 4 Star Split Inverter 5-In-1-Convertible Cooling, 4 Way Air Swing And Heavy ...","₹30,990",4,"Annual Power Usage: 835.07 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",1,"₹46,000",32% off,"9,395 Ratings & 703 Reviews"
Whirlpool 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹34,490",4.2,"Annual Power Usage: 728.95 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product, 5 Year Warranty On Compressor",1,"₹65,083",47% off,"20,904 Ratings & 2,368 Reviews"
Voltas 2025 Model 1 Ton 5 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹32,990",4.2,"Annual Power Usage: 518.75 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product,5 Years on PCB and 10 Years Warranty on Compressor",1,"₹58,890",43% off,"1,843 Ratings & 234 Reviews"
Daikin 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹42,490",4.2,Annual Power Usage: 785.67 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,1,"₹61,940",31% off,"14,200 Ratings & 1,256 Reviews"
MOTOROLA 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi 7-in-1 Convertible with Rapid cool techno...,"₹26,990",4.2,"Annual Power Usage: 1011.43 UnitsRoom Size: 111 - 150 sqft1 Year on Product, 5 years on PCB, and 10 Years Warranty on Compressor",2,"₹52,499",48% off,"1,413 Ratings & 189 Reviews"
Lloyd 2025 Model 1 Ton 3 Star Split Inverter with Wi-fi Anti-Viral AC,"₹25,990",4.1,"Annual Power Usage: 689.77 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",2,"₹54,990",52% off,"4,836 Ratings & 537 Reviews"
Daikin 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹34,490",4.2,Annual Power Usage: 966.47 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,2,"₹53,830",35% off,"20,403 Ratings & 1,536 Reviews"
Godrej 2025 Model 1 Ton 5 Star Split Inverter 5-In-1-Convertible CoolingI-sense Technology with Blue F...,"₹29,990",4,"Annual Power Usage: 516.37 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",2,"₹45,050",33% off,"2,336 Ratings & 235 Reviews"
"TCL 2025 Model 1 Ton 3 Star Split Dual Inverter 5 Step Convetible with Powerful Turbo cooling, Energy ...","₹23,990",4,"Annual Power Usage: 657.31 UnitsRoom Size: 90 sqft or Below1Year Comprehensive, PCB 5 Year and Compressor 10Year",2,"₹50,991",52% off,204 Ratings & 25 Reviews
MarQ by Flipkart 2025 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,"₹29,490",4.2,Annual Power Usage: 781.88 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,2,"₹56,199",47% off,"27,181 Ratings & 3,427 Reviews"
Haier Kinouchi Limited Edition 2025 Model 1.6 Ton 5 Star Split Inverter with Wi-fi AC,"₹45,990",4.1,Annual Power Usage: 836.95 kWhRoom Size: 151 - 200 sqftManufacturer Warranty: 5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty post-installation).,2,"₹78,200",41% off,178 Ratings & 16 Reviews
Voltas 2025 Model 1 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹27,990",4.1,"Annual Power Usage: 672.93 UnitsRoom Size: 90 sqft or Below5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",2,"₹52,390",46% off,"7,817 Ratings & 861 Reviews"
Voltas 2025 Model 2 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹40,599",4.1,"Annual Power Usage: 1207.93 UnitsRoom Size: 151 - 200 sqft5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",2,"₹79,990",49% off,"1,616 Ratings & 146 Reviews"
Samsung 2025 Model 1 Ton 3 Star Split Inverter 5 Step Convertible with Powerful cooling & Energy savin...,"₹28,990",4.2,"Annual Power Usage: 626.62 UnitsRoom Size: 90 sqft or Below5 years comprehensive warranty on product + Additional 5 Months Warranty if purchase between 22nd September 2025 -10th November 2025, 10 years on compressor",2,"₹53,490",45% off,"8,373 Ratings & 905 Reviews"
LG 2025 Model 1.5 Ton 3 Star Hot and Cold Split AI Dual Inverter Convertible 5-in-1 with 4 Way Air Swi...,"₹41,990",4.1,"Annual Power Usage: 1005.66 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)",2,"₹82,990",49% off,"39,677 Ratings & 3,779 Reviews"
CARRIER 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi Smart Flexicool 6 in 1 ConvertibleSmart En...,"₹32,990",4.2,"Annual Power Usage: 952.68 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty  on Product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor",2,"₹62,900",47% off,"35,529 Ratings & 4,403 Reviews"
Godrej 2025 Model 1.4 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling Heavy Duty Cooling At Extre...,"₹28,490",3.9,"Annual Power Usage: 905.88 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",2,"₹40,450",29% off,"2,554 Ratings & 205 Reviews"
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,"₹35,490",4.2,"Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",2,"₹65,900",46% off,"35,529 Ratings & 4,403 Reviews"
Lloyd 2025 Model 0.8 Ton 3 Star Split Inverter AC,"₹22,990",4.1,"Annual Power Usage: 549.06 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",2,"₹43,990",47% off,"2,757 Ratings & 390 Reviews"
Lloyd 2025 Model 1.5 Tons 3 Star Split Inverter AC,"₹31,790",4.1,"Annual Power Usage: 941.76 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on AC, 5 Year Warranty on Component and 10 Years Warranty on Compressor",2,"₹53,990",41% off,"19,173 Ratings & 2,108 Reviews"
Panasonic 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹41,390",4.3,"Annual Power Usage: 759.55 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years.",2,"₹59,300",30% off,"19,993 Ratings & 2,150 Reviews"
Voltas 2025 Model 1 Ton 5 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹32,990",4.2,"Annual Power Usage: 518.75 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product,5 Years on PCB and 10 Years Warranty on Compressor",2,"₹58,890",43% off,"1,843 Ratings & 234 Reviews"
Godrej 2025 Model 1.5 Ton 5 Star Split Inverter 5-In-1 Convertible Cooling Heavy Duty Cooling at Extre...,"₹33,250",4,"Annual Power Usage: 728.37 WRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",2,"₹54,900",39% off,"10,508 Ratings & 1,070 Reviews"
Godrej 2025 Model 2.5 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with 4 Way Air Swing and He...,"₹45,990",4,"Annual Power Usage: 1330.81 Units5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",2,"₹62,650",26% off,207 Ratings & 19 Reviews
Daikin 2025 Model 0.8 Ton 3 Star Split AC,"₹25,290",4.2,Annual Power Usage: 574.39 UnitsRoom Size: 90 sqft or Below1 Year Comprehensive Warranty.,2,"₹38,100",33% off,"4,571 Ratings & 463 Reviews"
Panasonic 2025 Model 1.4 Ton 3 Star Split Inverter AC,"₹31,710",4.2,"Annual Power Usage: 929.59 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years.",2,"₹50,100",36% off,89 Ratings & 17 Reviews
Whirlpool 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹34,490",4.2,"Annual Power Usage: 728.95 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product, 5 Year Warranty On Compressor",2,"₹65,083",47% off,"20,904 Ratings & 2,368 Reviews"
"Godrej 2025 Model 1.5 Ton 4 Star Split Inverter 5-In-1-Convertible Cooling, 4 Way Air Swing And Heavy ...","₹30,990",4,"Annual Power Usage: 835.07 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",2,"₹46,000",32% off,"9,395 Ratings & 703 Reviews"
Godrej 2024 Model 1.5 Ton 3 Star Split Inverter Heavy Duty Cooling at Extreme Temperature AC,"₹29,599",4,"Annual Power Usage: 966.34 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",3,"₹45,900",35% off,"18,268 Ratings & 1,519 Reviews"
Lloyd 2025 Model 1 Ton 3 Star Split Inverter AC,"₹28,490",4.1,"Annual Power Usage: 698.49 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Year Warranty on Component(including PCB) & 10 Year Warranty on Compressor.",3,"₹45,990",38% off,"4,836 Ratings & 537 Reviews"
Godrej 2025 Model 1 Ton 5 Star Split Inverter 5-In-1-Convertible CoolingI-sense Technology with Blue F...,"₹29,990",4,"Annual Power Usage: 516.37 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",3,"₹45,050",33% off,"2,336 Ratings & 235 Reviews"
Daikin 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹34,490",4.2,Annual Power Usage: 966.47 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,3,"₹53,830",35% off,"20,403 Ratings & 1,536 Reviews"
Blue Star 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹40,990",4.2,Annual Power Usage: 783.33 UnitsRoom Size: 111 - 150 sqft60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr from 24th January 2026 to 31st March 2026.,3,"₹69,100",40% off,"12,523 Ratings & 1,070 Reviews"
MarQ by Flipkart 2025 Model 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,"₹25,790",4.2,Annual Power Usage: 964.1 kWhRoom Size: 111 - 150 sqft1 Year on Product and 10 Years Warranty on Compressor,3,"₹46,999",45% off,"47,618 Ratings & 6,140 Reviews"
Lloyd 2025 Model 2 Ton 3 Star Split Inverter AC,"₹41,449",3.9,"Annual Power Usage: 1264.42 UnitsRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",3,"₹77,000",46% off,614 Ratings & 51 Reviews
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,"₹26,990",4,"Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",3,"₹38,600",30% off,"7,273 Ratings & 668 Reviews"
Haier Kinouchi Limited Edition 2025 Model 1.6 Ton 5 Star Split Inverter with Wi-fi AC,"₹45,990",4.1,Annual Power Usage: 836.95 kWhRoom Size: 151 - 200 sqftManufacturer Warranty: 5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty post-installation).,3,"₹78,200",41% off,178 Ratings & 16 Reviews
Voltas 2025 Model 1 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹27,990",4.1,"Annual Power Usage: 672.93 UnitsRoom Size: 90 sqft or Below5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",3,"₹52,390",46% off,"7,817 Ratings & 861 Reviews"
Daikin 2025 Model 1.8 Ton 3 Star Hot and Cold Split Inverter AC,"₹50,990",4.1,Annual Power Usage: 1057.21 UnitsRoom Size: 151 - 200 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,3,"₹70,610",27% off,378 Ratings & 44 Reviews
"Samsung 2025 Model 1 Ton 5 Star Split Inverter with Wi-fi Bespoke AI, 5 Step Convertible with Powerful...","₹33,990",4.2,"Annual Power Usage: 525.92 UnitsRoom Size: 90 sqft or Below5 years comprehensive warranty on product + Additional 5 Months Warranty if purchase between 22nd September 2025 -10th November 2025, 10 years on compressor",3,"₹62,490",45% off,925 Ratings & 109 Reviews
Voltas 2025 Model 1 Ton 5 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹32,990",4.2,"Annual Power Usage: 518.75 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product,5 Years on PCB and 10 Years Warranty on Compressor",3,"₹58,890",43% off,"1,843 Ratings & 234 Reviews"
"Haier 2025 Model 1.5 Ton 3 Star Split Inverter Intelli-Convertible 7 in1 ConvertibleHD Filter, Frost S...","₹31,790",4,Annual Power Usage: 941.42 UnitsRoom Size: 111 - 150 sqftManufacturer Warranty: 5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty post-installation). Installation by Haier/authorized centers & 2 maintenance services (paid) yearly is mandatory. T&C apply; excludes gas/plastic parts,3,"₹57,400",44% off,"5,319 Ratings & 534 Reviews"
Lloyd 2025 Model 1 Ton 5 Star Split Inverter AC,"₹30,490",4,"Annual Power Usage: 533.89 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",3,"₹52,990",42% off,"1,105 Ratings & 95 Reviews"
Voltas 2025 Model 1 Ton 3 Star Window Inverter Turbo Cooling | Energy Efficient | High ambient Cooling...,"₹23,949",4.2,Annual Power Usage: 774.11 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,3,"₹35,990",33% off,"3,601 Ratings & 304 Reviews"
Blue Star 2025 Model 1 Ton 3 Star Split Inverter AC,"₹29,990",4.1,Annual Power Usage: 706.99 UnitsRoom Size: 90 sqft or Below60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr from 24th January 2026 to 31st March 2026.,3,"₹47,400",36% off,"4,392 Ratings & 411 Reviews"
Panasonic 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,"₹34,480",4.2,"Annual Power Usage: 977.16 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years.",3,"₹51,900",33% off,"22,329 Ratings & 2,197 Reviews"
Godrej 2025 Model 1.4 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling Heavy Duty Cooling At Extre...,"₹28,490",3.9,"Annual Power Usage: 905.88 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",3,"₹40,450",29% off,"2,554 Ratings & 205 Reviews"
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,"₹35,490",4.2,"Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",3,"₹65,900",46% off,"35,529 Ratings & 4,403 Reviews"
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...","₹33,490",4.2,"Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",3,"₹65,500",48% off,"35,529 Ratings & 4,403 Reviews"
MarQ by Flipkart 2025 Model 1 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,"₹27,490",4.2,Annual Power Usage: 526.8 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,3,"₹48,799",43% off,"2,632 Ratings & 339 Reviews"
Daikin 2025 Model 1 Ton 3 Star Split Inverter AC,"₹30,990",4.1,Annual Power Usage: 680.4 UnitsRoom Size: 90 sqft or Below5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,3,"₹44,420",30% off,"4,181 Ratings & 355 Reviews"
Panasonic 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹41,390",4.3,"Annual Power Usage: 759.55 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years.",3,"₹59,300",30% off,"19,993 Ratings & 2,150 Reviews"
realme TechLife 2025 Model 1 Ton 3 Star Split Inverter with Wi-fi 5-in-1 Convertible with Rapid Cool S...,"₹22,990",4.2,Annual Power Usage: 684.78 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,4,"₹47,899",52% off,"1,141 Ratings & 114 Reviews"
Blue Star 2024 Model 0.8 Ton 3 Star Split Inverter AC,"₹26,250",4.2,Annual Power Usage: 544.39 UnitsRoom Size: 90 sqft or Below60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr from 24th January 2026 to 31st March 2026.,4,"₹39,100",32% off,"6,545 Ratings & 721 Reviews"
"LG 2025 Model 1.5 Ton 3 Star Split AI Dual Inverter 6-in-1 Convertible, Faster Cooling & Energy Saving...","₹32,490",4.1,"Annual Power Usage: 852.44 kWhRoom Size: 111 - 150 sqftManufacturer warranty: 1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive warranty period only | T&C Apply) | Contact Brand for queries/assistance @ [Telephone: 08069379999, WhatsApp: 9711709999 & Email: serviceindia@lge.com] and provide product's model name and seller's details mentioned on your invoice. Brand's service centre will allot you a convenient slot for the service. â For units installed by entities outside of Brand's service network, warranty repairs for defects attributed to installation may be charged by the Brand.",4,"₹72,990",55% off,"39,677 Ratings & 3,779 Reviews"
